Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Duration,Date Declared Over,Active
Institution 31,971 King St,Long-Term Care Home,Enteric,COVID-19,None,2023-01-01,24,2023-01-25,N
Institution 93,229 Bay St,Long-Term Care Home,Respiratory,Influenza,None,2024-02-13,18,2024-03-02,Y
Institution 17,523 Queen St,Hospital,Enteric,COVID-19,None,2023-06-27,21,2023-07-18,N
Institution 64,719 Queen St,Hospital,Respiratory,Influenza,None,2023-03-05,9,2023-03-14,Y
Institution 37,335 Queen St,Retirement Home,Respiratory,COVID-19,None,2024-07-26,7,2024-08-02,N
Institution 57,953 Main St,Long-Term Care Home,Respiratory,COVID-19,None,2023-06-11,18,2023-06-29,Y
Institution 20,56 Bay St,Hospital,Respiratory,COVID-19,None,2024-06-23,21,2024-07-14,Y
Institution 35,618 Main St,Retirement Home,Enteric,Influenza,None,2024-10-06,15,2024-10-21,N
Institution 89,271 Queen St,Hospital,Enteric,Influenza,Rhinovirus,2024-09-19,5,2024-09-24,N
Institution 33,207 Main St,Long-Term Care Home,Respiratory,RSV,None,2023-05-13,13,2023-05-26,N
Institution 66,436 Main St,Retirement Home,Respiratory,RSV,None,2024-02-17,7,2024-02-24,N
Institution 4,876 Queen St,Long-Term Care Home,Enteric,RSV,None,2023-05-11,24,2023-06-04,N
Institution 74,957 King St,Hospital,Enteric,Norovirus,None,2023-10-29,16,2023-11-14,Y
Institution 97,601 King St,Hospital,Enteric,RSV,None,2023-11-14,26,2023-12-10,N
Institution 5,292 Main St,Long-Term Care Home,Enteric,Norovirus,None,2023-09-27,16,2023-10-13,N
Institution 25,387 King St,Long-Term Care Home,Respiratory,RSV,None,2024-04-07,20,2024-04-27,N
Institution 8,263 Bay St,Retirement Home,Enteric,Norovirus,None,2024-03-26,13,2024-04-08,N
Institution 55,68 Queen St,Hospital,Enteric,COVID-19,None,2024-08-16,13,2024-08-29,N
Institution 89,120 Main St,Hospital,Respiratory,COVID-19,None,2023-05-03,19,2023-05-22,N
Institution 85,744 Main St,Hospital,Respiratory,Influenza,Rhinovirus,2023-05-10,18,2023-05-28,Y
Institution 45,565 Main St,Hospital,Enteric,COVID-19,None,2023-10-29,7,2023-11-05,Y
Institution 18,357 Bay St,Hospital,Enteric,RSV,Rhinovirus,2024-01-05,12,2024-01-17,N
Institution 42,792 Main St,Hospital,Respiratory,COVID-19,None,2024-07-23,20,2024-08-12,N
Institution 31,742 Bay St,Long-Term Care Home,Enteric,COVID-19,None,2023-08-18,5,2023-08-23,N
Institution 6,836 Main St,Hospital,Enteric,RSV,None,2024-08-04,30,2024-09-03,N
Institution 71,835 Main St,Hospital,Respiratory,Influenza,None,2024-06-11,15,2024-06-26,N
Institution 61,523 King St,Hospital,Respiratory,COVID-19,Adenovirus,2023-01-01,5,2023-01-06,N
Institution 48,586 King St,Hospital,Enteric,COVID-19,Rhinovirus,2023-10-18,19,2023-11-06,N
Institution 17,256 King St,Long-Term Care Home,Respiratory,COVID-19,None,2023-06-09,11,2023-06-20,Y
Institution 45,349 Bay St,Long-Term Care Home,Respiratory,COVID-19,Adenovirus,2023-01-19,26,2023-02-14,N
Institution 92,471 Queen St,Hospital,Respiratory,Norovirus,None,2023-07-05,27,2023-08-01,N
Institution 63,901 King St,Retirement Home,Enteric,Influenza,Adenovirus,2024-06-07,15,2024-06-22,N
Institution 53,88 Bay St,Long-Term Care Home,Respiratory,Influenza,None,2024-08-02,9,2024-08-11,N
Institution 53,416 King St,Hospital,Respiratory,COVID-19,None,2024-10-22,28,2024-11-19,N
Institution 63,857 King St,Hospital,Enteric,RSV,None,2024-09-13,20,2024-10-03,N
Institution 71,11 Main St,Retirement Home,Respiratory,Influenza,Rhinovirus,2023-08-29,30,2023-09-28,N
Institution 84,586 King St,Hospital,Respiratory,RSV,None,2023-11-13,21,2023-12-04,N
Institution 82,463 Bay St,Hospital,Enteric,Influenza,None,2024-08-12,21,2024-09-02,N
Institution 93,755 Queen St,Long-Term Care Home,Respiratory,COVID-19,None,2024-03-31,30,2024-04-30,N
Institution 17,700 Bay St,Hospital,Respiratory,Norovirus,None,2023-06-19,12,2023-07-01,N
Institution 97,287 Main St,Long-Term Care Home,Enteric,Norovirus,None,2024-07-11,7,2024-07-18,N
Institution 2,842 Queen St,Hospital,Respiratory,Influenza,None,2023-06-08,24,2023-07-02,N
Institution 49,685 Queen St,Retirement Home,Enteric,RSV,None,2024-05-19,12,2024-05-31,N
Institution 2,827 Queen St,Hospital,Enteric,Norovirus,None,2023-06-28,25,2023-07-23,N
Institution 13,280 Main St,Hospital,Respiratory,Influenza,None,2024-01-08,18,2024-01-26,N
Institution 24,512 Bay St,Long-Term Care Home,Respiratory,COVID-19,None,2024-07-21,20,2024-08-10,N
Institution 49,803 Queen St,Long-Term Care Home,Enteric,COVID-19,None,2023-05-27,20,2023-06-16,N
Institution 67,242 King St,Long-Term Care Home,Respiratory,Norovirus,None,2023-06-24,7,2023-07-01,N
Institution 82,778 Bay St,Long-Term Care Home,Respiratory,RSV,None,2023-07-28,18,2023-08-15,N
Institution 2,64 Main St,Hospital,Respiratory,Influenza,Rhinovirus,2024-06-12,30,2024-07-12,N
Institution 37,328 Queen St,Retirement Home,Enteric,Influenza,Rhinovirus,2023-08-20,21,2023-09-10,N
Institution 63,172 King St,Long-Term Care Home,Respiratory,RSV,None,2024-01-12,21,2024-02-02,N
Institution 76,298 King St,Hospital,Enteric,RSV,None,2024-04-27,17,2024-05-14,N
Institution 13,160 Queen St,Hospital,Enteric,Norovirus,None,2023-04-16,24,2023-05-10,N
Institution 42,679 Queen St,Long-Term Care Home,Respiratory,Norovirus,None,2024-04-19,6,2024-04-25,Y
Institution 61,903 Queen St,Long-Term Care Home,Respiratory,RSV,None,2023-01-18,20,2023-02-07,N
Institution 70,678 Main St,Hospital,Respiratory,Norovirus,None,2023-09-03,18,2023-09-21,N
Institution 38,529 Main St,Long-Term Care Home,Respiratory,Influenza,None,2023-11-18,9,2023-11-27,N
Institution 64,468 Bay St,Retirement Home,Enteric,RSV,None,2023-03-08,13,2023-03-21,N
Institution 80,384 Queen St,Long-Term Care Home,Respiratory,COVID-19,None,2024-02-04,28,2024-03-03,N
Institution 99,929 Queen St,Hospital,Respiratory,Influenza,None,2024-10-22,25,2024-11-16,N
Institution 36,741 Main St,Retirement Home,Respiratory,COVID-19,None,2023-03-31,22,2023-04-22,N
Institution 91,970 Queen St,Long-Term Care Home,Respiratory,Norovirus,None,2023-07-28,14,2023-08-11,N
Institution 91,365 Bay St,Long-Term Care Home,Enteric,RSV,None,2023-10-29,24,2023-11-22,N
Institution 35,970 Bay St,Hospital,Respiratory,Norovirus,None,2024-05-03,22,2024-05-25,Y
Institution 87,898 King St,Long-Term Care Home,Respiratory,Influenza,None,2024-07-01,6,2024-07-07,Y
Institution 67,591 Queen St,Long-Term Care Home,Enteric,COVID-19,None,2023-03-06,8,2023-03-14,N
Institution 95,471 Bay St,Hospital,Enteric,RSV,None,2024-05-23,13,2024-06-05,N
Institution 48,879 Queen St,Hospital,Enteric,COVID-19,None,2023-07-21,19,2023-08-09,Y
Institution 66,227 Main St,Long-Term Care Home,Enteric,RSV,None,2023-12-25,6,2023-12-31,N
Institution 23,834 Main St,Hospital,Respiratory,COVID-19,None,2023-08-03,8,2023-08-11,Y
Institution 67,838 Main St,Hospital,Enteric,RSV,None,2023-10-09,16,2023-10-25,N
Institution 9,622 Main St,Long-Term Care Home,Respiratory,Norovirus,None,2023-07-27,22,2023-08-18,Y
Institution 61,315 King St,Retirement Home,Respiratory,Influenza,Rhinovirus,2024-08-28,15,2024-09-12,N
Institution 39,943 King St,Long-Term Care Home,Enteric,Norovirus,None,2024-06-16,30,2024-07-16,N
Institution 94,243 Queen St,Long-Term Care Home,Enteric,COVID-19,None,2024-02-24,11,2024-03-06,Y
Institution 31,265 Queen St,Long-Term Care Home,Respiratory,Norovirus,None,2023-11-28,8,2023-12-06,N
Institution 94,535 King St,Long-Term Care Home,Respiratory,RSV,None,2023-02-24,14,2023-03-10,N
Institution 73,793 Main St,Long-Term Care Home,Respiratory,COVID-19,Rhinovirus,2023-09-13,27,2023-10-10,N
Institution 36,911 Bay St,Long-Term Care Home,Respiratory,Influenza,Adenovirus,2023-01-07,16,2023-01-23,N
Institution 98,982 Bay St,Long-Term Care Home,Respiratory,Norovirus,None,2024-06-16,20,2024-07-06,N
Institution 22,112 Bay St,Retirement Home,Respiratory,RSV,None,2023-03-30,6,2023-04-05,N
Institution 44,456 Main St,Hospital,Respiratory,Influenza,None,2023-06-01,22,2023-06-23,N
Institution 41,93 Queen St,Long-Term Care Home,Respiratory,RSV,None,2024-07-22,16,2024-08-07,Y
Institution 92,489 King St,Retirement Home,Respiratory,Norovirus,None,2024-08-25,10,2024-09-04,N
Institution 93,789 Main St,Hospital,Respiratory,COVID-19,None,2024-07-16,14,2024-07-30,N
Institution 43,631 Bay St,Hospital,Respiratory,Norovirus,None,2023-02-07,21,2023-02-28,N
Institution 39,48 Main St,Hospital,Respiratory,RSV,None,2024-05-12,12,2024-05-24,N
Institution 37,969 King St,Hospital,Respiratory,Norovirus,None,2024-03-18,28,2024-04-15,N
Institution 33,482 Queen St,Long-Term Care Home,Enteric,Influenza,None,2023-10-01,11,2023-10-12,N
Institution 83,248 Main St,Long-Term Care Home,Respiratory,Norovirus,None,2024-01-08,18,2024-01-26,N
Institution 12,105 Bay St,Retirement Home,Enteric,Norovirus,None,2023-04-12,15,2023-04-27,N
Institution 98,171 King St,Long-Term Care Home,Respiratory,RSV,Rhinovirus,2024-10-24,30,2024-11-23,Y
Institution 21,696 Bay St,Hospital,Respiratory,COVID-19,None,2023-11-23,28,2023-12-21,N
Institution 81,459 Bay St,Hospital,Respiratory,Norovirus,None,2024-01-23,14,2024-02-06,N
Institution 76,516 Bay St,Long-Term Care Home,Enteric,COVID-19,None,2024-03-19,23,2024-04-11,N
Institution 94,839 Main St,Long-Term Care Home,Respiratory,RSV,None,2023-07-29,19,2023-08-17,Y
Institution 35,312 King St,Hospital,Enteric,Norovirus,None,2024-10-27,15,2024-11-11,Y
Institution 30,562 Queen St,Long-Term Care Home,Respiratory,Influenza,None,2024-02-05,18,2024-02-23,N
Institution 89,892 King St,Hospital,Respiratory,RSV,Rhinovirus,2024-10-31,14,2024-11-14,N
Institution 50,139 Main St,Hospital,Enteric,Influenza,Adenovirus,2023-06-11,19,2023-06-30,Y
Institution 47,758 Bay St,Hospital,Respiratory,RSV,Adenovirus,2024-09-25,22,2024-10-17,N
Institution 67,481 Queen St,Long-Term Care Home,Enteric,Norovirus,None,2024-08-31,5,2024-09-05,Y
Institution 82,843 Queen St,Hospital,Enteric,COVID-19,None,2024-01-05,27,2024-02-01,N
Institution 96,828 Bay St,Long-Term Care Home,Respiratory,COVID-19,None,2024-04-16,26,2024-05-12,N
Institution 81,250 Bay St,Retirement Home,Respiratory,RSV,None,2024-05-16,24,2024-06-09,N
Institution 42,742 Main St,Long-Term Care Home,Enteric,Norovirus,Adenovirus,2023-06-11,27,2023-07-08,N
Institution 40,597 King St,Long-Term Care Home,Enteric,Influenza,None,2024-04-13,21,2024-05-04,N
Institution 42,330 Main St,Retirement Home,Enteric,RSV,None,2024-02-18,29,2024-03-18,N
Institution 96,633 Main St,Long-Term Care Home,Enteric,COVID-19,Rhinovirus,2024-04-21,13,2024-05-04,N
Institution 26,626 Main St,Hospital,Respiratory,Norovirus,None,2024-03-19,11,2024-03-30,N
Institution 13,195 Queen St,Hospital,Enteric,Influenza,None,2023-11-30,8,2023-12-08,N
Institution 20,99 Bay St,Hospital,Respiratory,Influenza,None,2023-05-12,11,2023-05-23,N
Institution 20,98 Queen St,Long-Term Care Home,Enteric,Influenza,None,2023-01-26,6,2023-02-01,N
Institution 93,58 King St,Long-Term Care Home,Enteric,Norovirus,None,2023-04-18,30,2023-05-18,N
Institution 84,424 King St,Long-Term Care Home,Enteric,RSV,Adenovirus,2023-05-05,24,2023-05-29,N
Institution 94,988 King St,Hospital,Respiratory,Influenza,None,2023-12-03,20,2023-12-23,N
Institution 41,525 Bay St,Hospital,Enteric,Norovirus,None,2023-01-10,17,2023-01-27,N
Institution 8,8 Bay St,Hospital,Respiratory,Influenza,None,2024-03-10,24,2024-04-03,Y
Institution 39,258 Bay St,Hospital,Enteric,COVID-19,None,2024-09-25,21,2024-10-16,N
Institution 74,635 Queen St,Long-Term Care Home,Enteric,COVID-19,None,2023-09-10,11,2023-09-21,N
Institution 81,262 King St,Long-Term Care Home,Enteric,COVID-19,None,2023-11-10,6,2023-11-16,N
Institution 63,599 Bay St,Long-Term Care Home,Respiratory,RSV,Adenovirus,2023-03-06,26,2023-04-01,N
Institution 82,529 Bay St,Retirement Home,Respiratory,Influenza,Rhinovirus,2023-11-29,17,2023-12-16,N
Institution 11,928 Main St,Long-Term Care Home,Respiratory,Norovirus,None,2024-08-13,11,2024-08-24,N
Institution 2,206 Main St,Hospital,Respiratory,Norovirus,None,2023-08-18,28,2023-09-15,N
Institution 19,199 Bay St,Hospital,Respiratory,Norovirus,None,2024-10-21,8,2024-10-29,Y
Institution 77,589 Main St,Retirement Home,Enteric,RSV,None,2023-07-18,7,2023-07-25,N
Institution 13,840 Main St,Long-Term Care Home,Enteric,RSV,None,2023-10-15,21,2023-11-05,N
Institution 31,870 Queen St,Hospital,Respiratory,Influenza,None,2023-01-21,17,2023-02-07,N
Institution 30,459 King St,Long-Term Care Home,Enteric,Influenza,None,2023-07-03,28,2023-07-31,Y
Institution 22,234 Bay St,Long-Term Care Home,Respiratory,COVID-19,None,2024-02-20,8,2024-02-28,N
Institution 94,529 King St,Long-Term Care Home,Respiratory,RSV,None,2023-12-30,20,2024-01-19,N
Institution 74,839 Main St,Retirement Home,Enteric,Influenza,None,2024-02-27,12,2024-03-10,Y
Institution 16,55 Queen St,Hospital,Enteric,Norovirus,None,2023-02-05,7,2023-02-12,Y
Institution 69,892 Main St,Retirement Home,Enteric,COVID-19,None,2023-10-26,21,2023-11-16,N
Institution 36,531 Bay St,Long-Term Care Home,Respiratory,Influenza,None,2024-06-29,25,2024-07-24,N
Institution 50,753 Queen St,Long-Term Care Home,Respiratory,Norovirus,None,2023-12-21,27,2024-01-17,N
Institution 33,488 King St,Long-Term Care Home,Enteric,COVID-19,None,2023-04-09,17,2023-04-26,N
Institution 80,271 King St,Hospital,Respiratory,Norovirus,None,2024-05-31,14,2024-06-14,N
Institution 28,942 King St,Hospital,Respiratory,Norovirus,None,2023-01-04,9,2023-01-13,N
Institution 49,398 Queen St,Hospital,Respiratory,Norovirus,Rhinovirus,2023-01-18,6,2023-01-24,N
Institution 12,218 Main St,Hospital,Enteric,COVID-19,Adenovirus,2023-06-15,14,2023-06-29,Y
Institution 53,155 Main St,Hospital,Enteric,COVID-19,None,2023-10-18,8,2023-10-26,N
Institution 28,209 Main St,Hospital,Respiratory,Norovirus,Adenovirus,2024-01-09,28,2024-02-06,N
Institution 66,545 King St,Hospital,Enteric,Influenza,None,2023-08-09,24,2023-09-02,N
Institution 50,818 Bay St,Long-Term Care Home,Respiratory,RSV,None,2024-08-21,15,2024-09-05,N
Institution 76,786 Bay St,Long-Term Care Home,Enteric,Norovirus,None,2024-04-02,6,2024-04-08,N
Institution 47,660 Main St,Hospital,Respiratory,COVID-19,None,2024-09-09,18,2024-09-27,Y
Institution 51,347 Bay St,Hospital,Respiratory,COVID-19,Adenovirus,2024-07-20,8,2024-07-28,N
Institution 6,810 King St,Retirement Home,Enteric,RSV,None,2023-08-14,5,2023-08-19,N
Institution 80,74 King St,Retirement Home,Enteric,RSV,None,2024-08-31,18,2024-09-18,N
Institution 15,565 King St,Hospital,Enteric,RSV,None,2023-07-19,18,2023-08-06,N
Institution 19,831 Bay St,Hospital,Enteric,COVID-19,None,2023-03-27,27,2023-04-23,N
Institution 59,329 Queen St,Long-Term Care Home,Respiratory,COVID-19,Rhinovirus,2024-08-16,10,2024-08-26,N
Institution 3,671 Main St,Hospital,Enteric,COVID-19,None,2024-05-19,25,2024-06-13,Y
Institution 97,339 King St,Hospital,Enteric,RSV,None,2024-09-03,27,2024-09-30,N
Institution 33,55 Bay St,Retirement Home,Enteric,Norovirus,Rhinovirus,2024-06-01,22,2024-06-23,N
Institution 48,247 Bay St,Retirement Home,Enteric,Norovirus,Rhinovirus,2023-06-18,27,2023-07-15,N
Institution 75,370 Bay St,Retirement Home,Respiratory,RSV,None,2024-09-30,6,2024-10-06,N
Institution 100,530 Queen St,Long-Term Care Home,Enteric,RSV,None,2024-08-11,8,2024-08-19,N
Institution 45,876 Main St,Long-Term Care Home,Respiratory,Norovirus,None,2024-02-02,21,2024-02-23,N
Institution 10,44 Queen St,Hospital,Respiratory,RSV,None,2023-08-05,19,2023-08-24,N
Institution 42,860 Main St,Hospital,Respiratory,Norovirus,Rhinovirus,2023-11-29,25,2023-12-24,N
Institution 24,533 Queen St,Long-Term Care Home,Respiratory,Influenza,None,2023-09-22,27,2023-10-19,N
Institution 92,541 King St,Retirement Home,Respiratory,Norovirus,None,2024-09-08,20,2024-09-28,N
Institution 18,376 Bay St,Long-Term Care Home,Respiratory,Norovirus,Adenovirus,2024-08-10,16,2024-08-26,N
Institution 81,932 Main St,Retirement Home,Enteric,COVID-19,None,2023-05-17,12,2023-05-29,N
Institution 84,84 King St,Long-Term Care Home,Respiratory,COVID-19,Adenovirus,2023-03-23,6,2023-03-29,N
Institution 59,535 King St,Hospital,Respiratory,RSV,None,2024-02-19,19,2024-03-09,N
Institution 9,554 Main St,Hospital,Respiratory,Influenza,None,2023-04-14,20,2023-05-04,Y
Institution 53,709 King St,Hospital,Respiratory,COVID-19,None,2023-09-07,21,2023-09-28,N
Institution 11,194 Bay St,Hospital,Respiratory,Norovirus,None,2023-05-04,7,2023-05-11,N
Institution 8,594 Main St,Long-Term Care Home,Respiratory,Influenza,None,2024-05-04,6,2024-05-10,Y
Institution 5,460 King St,Retirement Home,Enteric,COVID-19,None,2024-04-26,15,2024-05-11,Y
Institution 29,830 Queen St,Hospital,Respiratory,Norovirus,None,2024-03-17,5,2024-03-22,N
Institution 50,576 King St,Retirement Home,Respiratory,COVID-19,None,2023-06-14,14,2023-06-28,N
Institution 70,77 Queen St,Long-Term Care Home,Respiratory,COVID-19,None,2023-12-28,23,2024-01-20,N
Institution 74,619 Queen St,Long-Term Care Home,Enteric,Norovirus,Rhinovirus,2023-10-03,30,2023-11-02,N
Institution 26,691 King St,Long-Term Care Home,Respiratory,RSV,None,2024-09-05,5,2024-09-10,N
Institution 73,998 King St,Long-Term Care Home,Respiratory,RSV,Rhinovirus,2023-12-22,19,2024-01-10,N
Institution 11,658 King St,Retirement Home,Respiratory,Norovirus,None,2023-07-31,22,2023-08-22,N
Institution 6,266 Main St,Retirement Home,Enteric,Influenza,None,2023-04-27,8,2023-05-05,N
Institution 96,713 Queen St,Long-Term Care Home,Respiratory,RSV,Adenovirus,2023-08-30,27,2023-09-26,Y
Institution 76,355 Main St,Retirement Home,Respiratory,COVID-19,None,2023-09-29,6,2023-10-05,Y
Institution 83,989 Queen St,Hospital,Respiratory,RSV,None,2023-07-10,14,2023-07-24,N
Institution 91,470 King St,Hospital,Respiratory,Norovirus,Rhinovirus,2023-09-15,5,2023-09-20,N
Institution 56,339 King St,Hospital,Respiratory,Norovirus,Adenovirus,2024-06-11,5,2024-06-16,N
Institution 96,200 Bay St,Hospital,Respiratory,Influenza,None,2023-08-26,12,2023-09-07,N
Institution 27,237 King St,Hospital,Respiratory,RSV,None,2023-03-06,23,2023-03-29,Y
Institution 94,993 King St,Long-Term Care Home,Respiratory,Norovirus,None,2024-02-05,12,2024-02-17,N
Institution 68,258 Queen St,Retirement Home,Respiratory,RSV,None,2024-01-05,27,2024-02-01,N
Institution 88,380 King St,Long-Term Care Home,Enteric,RSV,None,2023-08-20,5,2023-08-25,N
Institution 28,939 Queen St,Long-Term Care Home,Enteric,Norovirus,None,2024-08-23,14,2024-09-06,Y
Institution 67,893 Queen St,Hospital,Respiratory,Norovirus,None,2023-07-21,20,2023-08-10,N
Institution 40,766 Bay St,Hospital,Enteric,COVID-19,None,2023-03-31,11,2023-04-11,N
Institution 6,112 Queen St,Long-Term Care Home,Respiratory,Influenza,Adenovirus,2024-03-07,28,2024-04-04,N
Institution 36,5 Main St,Hospital,Respiratory,Norovirus,Rhinovirus,2024-05-24,10,2024-06-03,Y
Institution 55,469 Main St,Hospital,Respiratory,RSV,None,2023-01-19,27,2023-02-15,N
Institution 94,479 King St,Long-Term Care Home,Enteric,Norovirus,None,2024-05-02,26,2024-05-28,Y
Institution 48,612 King St,Retirement Home,Enteric,Influenza,None,2023-03-20,18,2023-04-07,N
Institution 10,411 Main St,Hospital,Respiratory,Norovirus,None,2023-12-14,29,2024-01-12,N
Institution 25,407 Main St,Long-Term Care Home,Respiratory,COVID-19,None,2024-01-22,14,2024-02-05,N
Institution 38,899 Queen St,Long-Term Care Home,Respiratory,COVID-19,None,2023-12-04,25,2023-12-29,N
Institution 100,655 Queen St,Long-Term Care Home,Enteric,RSV,None,2024-09-28,8,2024-10-06,N
Institution 25,746 Main St,Long-Term Care Home,Enteric,Norovirus,None,2024-10-19,15,2024-11-03,N
Institution 4,615 King St,Long-Term Care Home,Respiratory,Influenza,None,2024-06-20,16,2024-07-06,N
Institution 79,58 Main St,Long-Term Care Home,Respiratory,Influenza,None,2023-01-18,16,2023-02-03,N
Institution 52,391 Main St,Hospital,Enteric,COVID-19,Rhinovirus,2024-01-06,10,2024-01-16,N
Institution 22,290 King St,Retirement Home,Respiratory,COVID-19,None,2024-09-30,9,2024-10-09,N
Institution 24,287 Bay St,Hospital,Enteric,COVID-19,Rhinovirus,2024-04-22,27,2024-05-19,N
Institution 39,466 King St,Hospital,Enteric,RSV,None,2024-10-05,20,2024-10-25,N
Institution 47,530 Bay St,Long-Term Care Home,Respiratory,RSV,None,2023-10-02,19,2023-10-21,N
Institution 60,995 King St,Hospital,Respiratory,Norovirus,None,2024-05-26,30,2024-06-25,N
Institution 63,488 Main St,Long-Term Care Home,Enteric,RSV,None,2023-05-29,23,2023-06-21,Y
Institution 37,814 King St,Hospital,Respiratory,COVID-19,None,2023-06-13,13,2023-06-26,N
Institution 46,265 King St,Retirement Home,Enteric,COVID-19,None,2023-07-19,5,2023-07-24,N
Institution 54,591 Main St,Hospital,Respiratory,Norovirus,None,2024-09-19,22,2024-10-11,N
Institution 47,913 Bay St,Hospital,Respiratory,Influenza,Adenovirus,2024-08-05,14,2024-08-19,N
Institution 79,647 Queen St,Long-Term Care Home,Enteric,Norovirus,Adenovirus,2023-02-02,21,2023-02-23,N
Institution 16,478 King St,Long-Term Care Home,Respiratory,Influenza,None,2023-06-11,30,2023-07-11,Y
Institution 19,904 Main St,Retirement Home,Enteric,Norovirus,Rhinovirus,2023-09-26,24,2023-10-20,N
Institution 72,321 King St,Retirement Home,Respiratory,Norovirus,None,2023-04-09,22,2023-05-01,N
Institution 31,9 Queen St,Hospital,Enteric,Norovirus,None,2023-04-22,10,2023-05-02,N
Institution 37,867 Bay St,Long-Term Care Home,Respiratory,COVID-19,None,2024-09-12,29,2024-10-11,N
Institution 48,281 Main St,Long-Term Care Home,Respiratory,RSV,None,2023-02-01,15,2023-02-16,N
Institution 60,642 King St,Hospital,Respiratory,RSV,None,2023-09-25,15,2023-10-10,Y
Institution 62,907 Bay St,Hospital,Respiratory,Influenza,None,2023-08-28,24,2023-09-21,N
Institution 80,708 Queen St,Long-Term Care Home,Enteric,Norovirus,None,2023-11-03,11,2023-11-14,Y
Institution 9,40 King St,Hospital,Respiratory,COVID-19,None,2023-11-28,18,2023-12-16,N
Institution 11,148 King St,Long-Term Care Home,Respiratory,Norovirus,None,2023-09-11,26,2023-10-07,N
Institution 43,651 Queen St,Hospital,Respiratory,Norovirus,None,2024-01-03,28,2024-01-31,N
Institution 30,18 Main St,Retirement Home,Enteric,Norovirus,None,2024-01-07,26,2024-02-02,N
Institution 61,950 King St,Retirement Home,Enteric,COVID-19,None,2023-12-11,29,2024-01-09,Y
Institution 74,398 Main St,Hospital,Respiratory,RSV,None,2023-01-16,23,2023-02-08,N
Institution 55,963 Queen St,Long-Term Care Home,Respiratory,Norovirus,None,2023-08-18,10,2023-08-28,N
Institution 61,348 Bay St,Long-Term Care Home,Enteric,COVID-19,None,2024-04-29,29,2024-05-28,N
Institution 34,67 Bay St,Retirement Home,Enteric,Norovirus,None,2023-11-16,28,2023-12-14,N
Institution 57,878 Main St,Long-Term Care Home,Respiratory,RSV,Rhinovirus,2024-06-26,23,2024-07-19,Y
Institution 38,732 Bay St,Retirement Home,Respiratory,Norovirus,None,2023-02-28,30,2023-03-30,N
Institution 84,605 Bay St,Hospital,Respiratory,RSV,None,2024-02-03,6,2024-02-09,N
Institution 63,383 Bay St,Hospital,Respiratory,Norovirus,None,2023-05-24,24,2023-06-17,N
Institution 46,551 Queen St,Retirement Home,Respiratory,COVID-19,None,2023-08-10,17,2023-08-27,N
Institution 78,151 Main St,Long-Term Care Home,Enteric,COVID-19,None,2023-10-22,16,2023-11-07,N
Institution 70,591 Main St,Long-Term Care Home,Enteric,Norovirus,None,2024-09-27,19,2024-10-16,Y
Institution 18,471 Bay St,Long-Term Care Home,Respiratory,COVID-19,None,2024-09-03,6,2024-09-09,N
Institution 2,344 King St,Long-Term Care Home,Respiratory,Influenza,None,2023-10-15,27,2023-11-11,N
Institution 72,168 Queen St,Hospital,Respiratory,Norovirus,Adenovirus,2024-08-08,26,2024-09-03,N
Institution 75,161 Bay St,Hospital,Respiratory,COVID-19,None,2023-01-10,10,2023-01-20,N
Institution 21,421 Bay St,Hospital,Enteric,COVID-19,None,2024-05-19,20,2024-06-08,N
Institution 57,444 Bay St,Retirement Home,Enteric,RSV,None,2024-09-03,29,2024-10-02,Y
Institution 71,29 Queen St,Retirement Home,Enteric,COVID-19,None,2023-10-23,30,2023-11-22,N
